站点
长江大桥北
毛纺厂路
泰山新村
泰冯路
高新开发区
信息工程大学
卸甲甸
大厂
葛塘
长芦
化工园
六合开发区
龙池
雄州
凤凰山公园
方州广场
沈桥
八百桥
金牛湖
