站点
鱼嘴
天保街
青莲街
螺塘路
油坊桥
雨润大街
元通
奥体东
兴隆大街
集庆门大街
云锦路
莫愁湖
汉中门
上海路
新街口
大行宫
西安门
明故宫
苜蓿园
下马坊
孝陵卫
钟灵街
马群
金马路
仙鹤门
学则路
仙林中心
羊山公园
南大仙林校区
螺塘街
经天路
