起点,终点,平均间距（米）
八卦洲大桥南,笆斗山,1370
笆斗山,燕子矶,1292
燕子矶,吉祥庵,1115
吉祥庵,晓庄,1007
晓庄,迈皋桥,1910
迈皋桥,红山动物园,1142
红山动物园,南京站,1121
南京站,新模范马路,1691
新模范马路,玄武门,1061
玄武门,鼓楼,1254
鼓楼,珠江路,862
珠江路,新街口,1147
新街口,张府园,1125
张府园,三山街,909
三山街,中华门,1914
中华门,安德门,2093
安德门,天隆寺,1455
天隆寺,软件大道,1283
软件大道,花神庙,1076
花神庙,南京南站,1853
南京南站,双龙大道,2276
双龙大道,河定桥,1345
河定桥,胜太路,904
胜太路,百家湖,1332
百家湖,小龙湾,1475
小龙湾,竹山路,1135
竹山路,天印大道,1919
天印大道,龙眠大道,1312
龙眠大道,南医大·江苏经贸学院,1550
南医大·江苏经贸学院,南京交院,2720
南京交院,中国药科大学,1964
