起点,终点,平均间距（米）
龙江,草场门·南艺·二师,1574
草场门·南艺·二师,云南路,1828
云南路,鼓楼,821
鼓楼,鸡鸣寺,1359
鸡鸣寺,九华山,807
九华山,岗子村,1391
岗子村,蒋王庙,2018
蒋王庙,王家湾,1128
王家湾,聚宝山,2749
聚宝山,徐庄·苏宁总部,2569
徐庄·苏宁总部,金马路,2564
金马路,汇通路,3233
汇通路,灵山,1187
灵山,东流,1938
东流,孟北,2454
孟北,西岗桦墅,2185
西岗桦墅,仙林湖,3212
