站点
仙新路
尧化门
尧化新村
丁家庄南
丁家庄
万寿
晓庄
幕府山
五塘广场
应天大街
梦都大街东
新城科技园
中胜
嘉陵江东街
永初路
太清路
螺塘路
幕府西路
西善桥
