起点,终点,平均间距（米）
南京南站,景明佳园,1963
景明佳园,铁心桥,1470
铁心桥,春江路,1507
春江路,贾西,1446
贾西,油坊桥,1608
油坊桥,永初路,1187
永初路,平良大街,1154
平良大街,吴侯街,949
吴侯街,高庙路,1037
高庙路,天保,2007
天保,刘村,1525
刘村,马骡圩,9844
马骡圩,兰花塘,2099
兰花塘,双垅,1324
双垅,石碛河,1471
石碛河,桥林新城,1350
桥林新城,林山,1998
林山,高家冲,1712
