起点,终点,平均间距（米）
林场,星火路,2537
星火路,东大成贤学院,1049
东大成贤学院,泰冯路,1127
泰冯路,天润城,1407
天润城,柳洲东路,1854
柳洲东路,上元门,3535
上元门,五塘广场,961
五塘广场,小市,1845
小市,南京站,1379
南京站,南京林业大学·新庄,2017
南京林业大学·新庄,鸡鸣寺,2851
鸡鸣寺,浮桥,858
浮桥,大行宫,859
大行宫,常府街,931
常府街,夫子庙,1067
夫子庙,武定门,1308
武定门,雨花门,1143
雨花门,卡子门,977
卡子门,大明路,1153
大明路,明发广场,1137
明发广场,南京南站,1222
南京南站,宏运大道,1105
宏运大道,胜太西路,1826
胜太西路,天元西路,1791
天元西路,九龙湖,2343
九龙湖,诚信大道,1526
诚信大道,东大九龙湖校区,1301
东大九龙湖校区,秣周东路,2995
