起点,终点,平均间距（米）
仙新路,尧化门,834
尧化门,尧化新村,1402
尧化新村,丁家庄南,1765
丁家庄南,丁家庄,1230
丁家庄,万寿,2002
万寿,晓庄,1405
晓庄,幕府山,1996
幕府山,五塘广场,2048
五塘广场,幕府西路,821
幕府西路,钟阜路,1673
钟阜路,福建路,1780
福建路,古平岗,1174
古平岗,草场门,1167
草场门,清凉山,1526
清凉山,莫愁湖,1289
莫愁湖,大士茶亭,699
大士茶亭,南湖,911
南湖,应天大街,924
应天大街,梦都大街东,1591
梦都大街东,新城科技园,1161
新城科技园,中胜,979
中胜,嘉陵江东街,853
嘉陵江东街,永初路,1755
永初路,太清路,1360
太清路,螺塘路,595
螺塘路,西善桥,2052
