起点,终点,平均间距（米）
安德门,小行,2157
小行,中胜,1307
中胜,元通,1400
元通,奥体中心,1865
奥体中心,梦都大街,848
梦都大街,绿博园,1512
绿博园,江心洲,1350
江心洲,临江·青奥体育公园,4545
临江·青奥体育公园,浦口万汇城,833
浦口万汇城,南京工业大学,1134
南京工业大学,龙华路,1427
龙华路,文德路,1154
文德路,雨山路,1729
