起点,终点,平均间距（米）
鱼嘴,天保街,866
天保街,青莲街,1274
青莲街,螺塘路,910
螺塘路,油坊桥,2324
油坊桥,雨润大街,2631
雨润大街,元通,1622
元通,奥体东,1262
奥体东,兴隆大街,1379
兴隆大街,集庆门大街,1473
集庆门大街,云锦路,1312
云锦路,莫愁湖,1257
莫愁湖,汉中门,1002
汉中门,上海路,874
上海路,新街口,745
新街口,大行宫,1022
大行宫,西安门,1024
西安门,明故宫,1300
明故宫,苜蓿园,1521
苜蓿园,下马坊,1307
下马坊,孝陵卫,937
孝陵卫,钟灵街,1168
钟灵街,马群,2779
马群,金马路,3015
金马路,仙鹤门,1675
仙鹤门,学则路,1326
学则路,仙林中心,1519
仙林中心,羊山公园,1066
羊山公园,南大仙林校区,1947
南大仙林校区,经天路,1846
