起点,终点,平均间距（米）
长江大桥北,毛纺厂路,814
毛纺厂路,泰山新村,1473
泰山新村,泰冯路,1236
泰冯路,高新开发区,2741
高新开发区,信息工程大学,2830
信息工程大学,卸甲甸,1401
卸甲甸,大厂,1829
大厂,葛塘,2151
葛塘,长芦,3880
长芦,化工园,1567
化工园,六合开发区,2893
六合开发区,龙池,2077
龙池,雄州,2375
雄州,凤凰山公园,1606
凤凰山公园,方州广场,1475
方州广场,沈桥,6112
沈桥,八百桥,4971
八百桥,金牛湖,5475
